Month,Case Shipments,Consumer Packs,CP i-1,CP i -2,Dealer Allowance,DA i-1,DA i-2,Seasonal Index
1,,0,,,396776,,,113
2,,0,0,,152296,396776,,98
3,,0,0,0,157640,152296,396776,102
4,,0,0,0,246064,157640,152296,107
5,,15012,0,0,335716,246064,157640,119
6,,62337,15012,0,326312,335716,246064,104
7,,4022,62337,15012,263284,326312,335716,107
8,,3130,4022,62337,488676,263284,326312,81
9,,422,3130,4022,33928,488676,263284,113
10,,0,422,3130,224028,33928,488676,97
11,,0,0,422,304004,224028,33928,95
12,,0,0,0,352872,304004,224028,65
13,425075,75253,0,0,457732,352872,304004,113
14,315305,15036,75253,0,254396,457732,352872,98
15,367286,134440,15036,75253,259952,254396,457732,102
16,429432,119740,134440,15036,267368,259952,254396,107
17,347874,135590,119740,134440,158504,267368,259952,119
18,435529,189636,135590,119740,430012,158504,267368,104
19,299403,9308,189636,135590,388516,430012,158504,107
20,296505,41099,9308,189636,225616,388516,430012,81
21,426701,9391,41099,9308,1042304,225616,388516,113
22,329722,942,9391,41099,974092,1042304,225616,97
23,281783,1818,942,9391,301892,974092,1042304,95
24,166391,672,1818,942,76148,301892,974092,65
25,629404,548704,672,1818,0,76148,301892,113
26,263467,52819,548704,672,315196,0,76148,98
27,398320,2793,52819,548704,703624,315196,0,102
28,376569,27749,2793,52819,198464,703624,315196,107
29,444404,21887,27749,2793,478880,198464,703624,119
30,386986,1110,21887,27749,457172,478880,198464,104
31,414314,436,1110,21887,709480,457172,478880,107
32,253493,1407,436,1110,45380,709480,457172,81
33,484365,376650,1407,436,28080,45380,709480,113
34,305989,122906,376650,1407,111520,28080,45380,97
35,315407,15138,122906,376650,267200,111520,28080,95
36,182784,5532,15138,122906,354304,267200,111520,65
37,655748,544807,5532,15138,664712,354304,267200,113
38,270483,43704,544807,5532,536824,664712,354304,98
39,365058,5740,43704,544807,551560,536824,664712,102
40,313135,9614,5740,43704,150080,551560,536824,107
41,528210,1507,9614,5740,580800,150080,551560,119
42,379856,13620,1507,9614,435080,580800,150080,104
43,472058,101179,13620,1507,361144,435080,580800,107
44,254516,80309,101179,13620,97844,361144,435080,81
45,551354,335768,80309,101179,30372,97844,361144,113
46,335826,91710,335768,80309,150324,30372,97844,97
47,320408,9856,91710,335768,293044,150324,30372,95
48,276901,107172,9856,91710,162788,293044,150324,65
49,455136,299781,107172,9856,32532,162788,293044,113
50,247570,21218,299781,107172,23468,32532,162788,98
51,622204,157,21218,299781,4503456,23468,32532,102
52,429331,12961,157,21218,500904,4503456,23468,107
53,453156,333529,12961,157,0,500904,4503456,119
54,320103,178105,333529,12961,0,0,500904,104
55,451779,315564,178105,333529,46104,0,0,107
56,249482,80206,315564,178105,92252,46104,0,81
57,744583,5940,80206,315564,4869952,92252,46104,113
58,421186,36819,5940,80206,376556,4869952,92252,97
59,397367,234562,36819,5940,376556,376556,4869952,95
60,269096,71881,234562,36819,552536,376556,376556,65
61,,250000,71881,234562,100000,552536,376556,113
